Feature,Coefficient
lh_caudalanteriorcingulate-rh_precuneus,-0.0
lh_caudalanteriorcingulate-rh_rostralanteriorcingulate,-0.0
lh_caudalanteriorcingulate-rh_rostralmiddlefrontal,-0.0
lh_caudalanteriorcingulate-rh_superiorfrontal,-0.0
lh_caudalanteriorcingulate-rh_superiorparietal,-0.0
lh_caudalanteriorcingulate-rh_superiortemporal,-0.0
lh_caudalanteriorcingulate-rh_supramarginal,-0.0
lh_caudalanteriorcingulate-rh_frontalpole,0.0
lh_caudalanteriorcingulate-rh_temporalpole,0.0
lh_caudalanteriorcingulate-rh_transversetemporal,-0.0
lh_caudalanteriorcingulate-rh_insula,-0.0
lh_caudalmiddlefrontal-lh_cuneus,0.0
lh_caudalmiddlefrontal-lh_entorhinal,-0.008624699245571939
lh_caudalmiddlefrontal-lh_fusiform,0.0
lh_caudalmiddlefrontal-lh_inferiorparietal,0.0
lh_caudalmiddlefrontal-lh_inferiortemporal,-0.004562089741440839
lh_caudalmiddlefrontal-lh_isthmuscingulate,-0.0
lh_caudalmiddlefrontal-lh_lateraloccipital,0.0
lh_caudalmiddlefrontal-lh_lateralorbitofrontal,0.0
lh_caudalmiddlefrontal-lh_lingual,0.0
lh_caudalmiddlefrontal-lh_medialorbitofrontal,-0.0
lh_caudalmiddlefrontal-lh_middletemporal,0.0
lh_caudalmiddlefrontal-lh_parahippocampal,-0.0
lh_caudalmiddlefrontal-lh_paracentral,-0.0
lh_caudalmiddlefrontal-lh_parsopercularis,0.0
lh_caudalmiddlefrontal-lh_parsorbitalis,-0.0
lh_caudalmiddlefrontal-lh_parstriangularis,-0.0
lh_caudalmiddlefrontal-lh_pericalcarine,-0.0
lh_caudalmiddlefrontal-lh_postcentral,0.0
lh_caudalmiddlefrontal-lh_posteriorcingulate,-0.004449459443405838
lh_caudalmiddlefrontal-lh_precentral,0.0
lh_caudalmiddlefrontal-lh_precuneus,-0.0
lh_caudalmiddlefrontal-lh_rostralanteriorcingulate,-0.0
lh_caudalmiddlefrontal-lh_rostralmiddlefrontal,-0.0
lh_caudalmiddlefrontal-lh_superiorfrontal,-0.0
lh_caudalmiddlefrontal-lh_superiorparietal,-0.0
lh_caudalmiddlefrontal-lh_superiortemporal,-0.0
lh_caudalmiddlefrontal-lh_supramarginal,0.0
lh_caudalmiddlefrontal-lh_frontalpole,-0.0
lh_caudalmiddlefrontal-lh_temporalpole,-0.0
lh_caudalmiddlefrontal-lh_transversetemporal,-0.0
lh_caudalmiddlefrontal-lh_insula,-0.003283793406448303
lh_caudalmiddlefrontal-rh_bankssts,-0.0
lh_caudalmiddlefrontal-rh_caudalanteriorcingulate,-0.0
lh_caudalmiddlefrontal-rh_caudalmiddlefrontal,-0.0
lh_caudalmiddlefrontal-rh_cuneus,0.0
lh_caudalmiddlefrontal-rh_entorhinal,-0.0
lh_caudalmiddlefrontal-rh_fusiform,-0.0
lh_caudalmiddlefrontal-rh_inferiorparietal,0.0
lh_caudalmiddlefrontal-rh_inferiortemporal,-0.0
lh_caudalmiddlefrontal-rh_isthmuscingulate,-0.0
lh_caudalmiddlefrontal-rh_lateraloccipital,0.0
lh_caudalmiddlefrontal-rh_lateralorbitofrontal,0.0
lh_caudalmiddlefrontal-rh_lingual,0.0
lh_caudalmiddlefrontal-rh_medialorbitofrontal,-0.0
lh_caudalmiddlefrontal-rh_middletemporal,-0.0
lh_caudalmiddlefrontal-rh_parahippocampal,-0.0
lh_caudalmiddlefrontal-rh_paracentral,-0.0
lh_caudalmiddlefrontal-rh_parsopercularis,-0.0
lh_caudalmiddlefrontal-rh_parsorbitalis,-0.0
lh_caudalmiddlefrontal-rh_parstriangularis,0.0
lh_caudalmiddlefrontal-rh_pericalcarine,-0.0
lh_caudalmiddlefrontal-rh_postcentral,0.0
lh_caudalmiddlefrontal-rh_posteriorcingulate,-0.0
lh_caudalmiddlefrontal-rh_precentral,-0.0
lh_caudalmiddlefrontal-rh_precuneus,0.0
lh_caudalmiddlefrontal-rh_rostralanteriorcingulate,-0.0
lh_caudalmiddlefrontal-rh_rostralmiddlefrontal,-0.0
lh_caudalmiddlefrontal-rh_superiorfrontal,-0.0
lh_caudalmiddlefrontal-rh_superiorparietal,-0.0
lh_caudalmiddlefrontal-rh_superiortemporal,-0.002021584290403746
lh_caudalmiddlefrontal-rh_supramarginal,-0.0
lh_caudalmiddlefrontal-rh_frontalpole,0.0
lh_caudalmiddlefrontal-rh_temporalpole,-0.0
lh_caudalmiddlefrontal-rh_transversetemporal,0.0
lh_caudalmiddlefrontal-rh_insula,-0.0005407438616807744
lh_cuneus-lh_entorhinal,-0.0
lh_cuneus-lh_fusiform,-0.0
lh_cuneus-lh_inferiorparietal,0.0
lh_cuneus-lh_inferiortemporal,0.0
lh_cuneus-lh_isthmuscingulate,0.006085682398680477
lh_cuneus-lh_lateraloccipital,0.0
lh_cuneus-lh_lateralorbitofrontal,-0.0
lh_cuneus-lh_lingual,0.0
lh_cuneus-lh_medialorbitofrontal,0.0
lh_cuneus-lh_middletemporal,0.0
lh_cuneus-lh_parahippocampal,-0.0
lh_cuneus-lh_paracentral,0.0
lh_cuneus-lh_parsopercularis,-0.0
lh_cuneus-lh_parsorbitalis,-0.0
lh_cuneus-lh_parstriangularis,-0.0
lh_cuneus-lh_pericalcarine,-0.0
lh_cuneus-lh_postcentral,0.0
lh_cuneus-lh_posteriorcingulate,0.0
lh_cuneus-lh_precentral,-0.0
lh_cuneus-lh_precuneus,-0.0
lh_cuneus-lh_rostralanteriorcingulate,0.0
lh_cuneus-lh_rostralmiddlefrontal,0.0
lh_cuneus-lh_superiorfrontal,-0.0
lh_cuneus-lh_superiorparietal,0.0
lh_cuneus-lh_superiortemporal,-0.0
lh_cuneus-lh_supramarginal,-0.0
lh_cuneus-lh_frontalpole,0.0
lh_cuneus-lh_temporalpole,-0.0
lh_cuneus-lh_transversetemporal,-0.0
lh_cuneus-lh_insula,-0.0
lh_cuneus-rh_bankssts,0.0
lh_cuneus-rh_caudalanteriorcingulate,0.0
lh_cuneus-rh_caudalmiddlefrontal,0.0
lh_cuneus-rh_cuneus,-0.0
lh_cuneus-rh_entorhinal,-0.0
lh_cuneus-rh_fusiform,-0.0
lh_cuneus-rh_inferiorparietal,-0.0
lh_cuneus-rh_inferiortemporal,-0.0
lh_cuneus-rh_isthmuscingulate,-0.0
lh_cuneus-rh_lateraloccipital,0.0
lh_cuneus-rh_lateralorbitofrontal,-0.0
lh_cuneus-rh_lingual,0.0
lh_cuneus-rh_medialorbitofrontal,0.0
lh_cuneus-rh_middletemporal,-0.0
lh_cuneus-rh_parahippocampal,0.0
lh_cuneus-rh_paracentral,0.0
lh_cuneus-rh_parsopercularis,0.0
lh_cuneus-rh_parsorbitalis,-0.0
lh_cuneus-rh_parstriangularis,0.0
lh_cuneus-rh_pericalcarine,0.0
lh_cuneus-rh_postcentral,-0.0
lh_cuneus-rh_posteriorcingulate,0.0
lh_cuneus-rh_precentral,-0.0
lh_cuneus-rh_precuneus,-0.0
lh_cuneus-rh_rostralanteriorcingulate,-0.0
lh_cuneus-rh_rostralmiddlefrontal,0.0
lh_cuneus-rh_superiorfrontal,-0.0
lh_cuneus-rh_superiorparietal,0.0
lh_cuneus-rh_superiortemporal,-0.0
lh_cuneus-rh_supramarginal,-0.0
lh_cuneus-rh_frontalpole,-0.0
lh_cuneus-rh_temporalpole,0.0
lh_cuneus-rh_transversetemporal,0.0
lh_cuneus-rh_insula,-0.0
lh_entorhinal-lh_fusiform,-0.0
lh_entorhinal-lh_inferiorparietal,-0.0
lh_entorhinal-lh_inferiortemporal,0.0
lh_entorhinal-lh_isthmuscingulate,-0.0
lh_entorhinal-lh_lateraloccipital,-0.0
lh_entorhinal-lh_lateralorbitofrontal,-0.0
lh_entorhinal-lh_lingual,-0.0
lh_entorhinal-lh_medialorbitofrontal,-0.0004677594708960941
lh_entorhinal-lh_middletemporal,-0.0
lh_entorhinal-lh_parahippocampal,0.0
lh_entorhinal-lh_paracentral,-0.0
lh_entorhinal-lh_parsopercularis,-0.0013595024434515349
lh_entorhinal-lh_parsorbitalis,0.0
lh_entorhinal-lh_parstriangularis,-0.0
lh_entorhinal-lh_pericalcarine,-0.0
lh_entorhinal-lh_postcentral,-0.0
lh_entorhinal-lh_posteriorcingulate,0.0
lh_entorhinal-lh_precentral,-0.0
lh_entorhinal-lh_precuneus,-0.0
lh_entorhinal-lh_rostralanteriorcingulate,0.0
lh_entorhinal-lh_rostralmiddlefrontal,0.0
lh_entorhinal-lh_superiorfrontal,-0.0
lh_entorhinal-lh_superiorparietal,-0.0
lh_entorhinal-lh_superiortemporal,-0.0
lh_entorhinal-lh_supramarginal,-0.0
lh_entorhinal-lh_frontalpole,-0.0
lh_entorhinal-lh_temporalpole,-0.0
lh_entorhinal-lh_transversetemporal,0.0
lh_entorhinal-lh_insula,0.0
lh_entorhinal-rh_bankssts,-0.0
lh_entorhinal-rh_caudalanteriorcingulate,0.0
lh_entorhinal-rh_caudalmiddlefrontal,-0.0
