Feature,Coefficient
lh_caudalanteriorcingulate-rh_paracentral,0.0
lh_caudalanteriorcingulate-rh_parsopercularis,0.32912802675568803
lh_caudalanteriorcingulate-rh_parsorbitalis,-0.0
lh_caudalanteriorcingulate-rh_parstriangularis,0.0
lh_caudalanteriorcingulate-rh_pericalcarine,-0.12258480828571375
lh_caudalanteriorcingulate-rh_postcentral,-0.0
lh_caudalanteriorcingulate-rh_posteriorcingulate,0.21148930225390813
lh_caudalanteriorcingulate-rh_precentral,-0.0
lh_caudalanteriorcingulate-rh_precuneus,0.0
lh_caudalanteriorcingulate-rh_rostralanteriorcingulate,-0.42742954251107
lh_caudalanteriorcingulate-rh_rostralmiddlefrontal,-0.0
lh_caudalanteriorcingulate-rh_superiorfrontal,-0.0
lh_caudalanteriorcingulate-rh_superiorparietal,0.0
lh_caudalanteriorcingulate-rh_superiortemporal,0.0
lh_caudalanteriorcingulate-rh_supramarginal,-0.0
lh_caudalanteriorcingulate-rh_frontalpole,-0.0
lh_caudalanteriorcingulate-rh_temporalpole,0.04720659890499115
lh_caudalanteriorcingulate-rh_transversetemporal,0.34836768277705576
lh_caudalanteriorcingulate-rh_insula,1.2054185361847585
lh_caudalmiddlefrontal-lh_cuneus,0.03905080402076153
lh_caudalmiddlefrontal-lh_entorhinal,-0.0
lh_caudalmiddlefrontal-lh_fusiform,0.0
lh_caudalmiddlefrontal-lh_inferiorparietal,-0.0
lh_caudalmiddlefrontal-lh_inferiortemporal,0.0
lh_caudalmiddlefrontal-lh_isthmuscingulate,0.0
lh_caudalmiddlefrontal-lh_lateraloccipital,0.32624056150072456
lh_caudalmiddlefrontal-lh_lateralorbitofrontal,-0.0
lh_caudalmiddlefrontal-lh_lingual,0.0
lh_caudalmiddlefrontal-lh_medialorbitofrontal,0.0
lh_caudalmiddlefrontal-lh_middletemporal,-0.10249504251192722
lh_caudalmiddlefrontal-lh_parahippocampal,0.0
lh_caudalmiddlefrontal-lh_paracentral,0.0
lh_caudalmiddlefrontal-lh_parsopercularis,1.0095044968059455
lh_caudalmiddlefrontal-lh_parsorbitalis,-0.0
lh_caudalmiddlefrontal-lh_parstriangularis,0.0
lh_caudalmiddlefrontal-lh_pericalcarine,0.0
lh_caudalmiddlefrontal-lh_postcentral,-0.0
lh_caudalmiddlefrontal-lh_posteriorcingulate,0.34161542101813747
lh_caudalmiddlefrontal-lh_precentral,-0.0
lh_caudalmiddlefrontal-lh_precuneus,0.0
lh_caudalmiddlefrontal-lh_rostralanteriorcingulate,-0.0
lh_caudalmiddlefrontal-lh_rostralmiddlefrontal,0.0
lh_caudalmiddlefrontal-lh_superiorfrontal,-0.22585725458269068
lh_caudalmiddlefrontal-lh_superiorparietal,0.16986158296897363
lh_caudalmiddlefrontal-lh_superiortemporal,-0.0
lh_caudalmiddlefrontal-lh_supramarginal,-0.20558961019570662
lh_caudalmiddlefrontal-lh_frontalpole,-0.5076544494491144
lh_caudalmiddlefrontal-lh_temporalpole,-0.16281950089097538
lh_caudalmiddlefrontal-lh_transversetemporal,0.02132655342760932
lh_caudalmiddlefrontal-lh_insula,-0.0
lh_caudalmiddlefrontal-rh_bankssts,0.2783014697072991
lh_caudalmiddlefrontal-rh_caudalanteriorcingulate,0.42698112204659044
lh_caudalmiddlefrontal-rh_caudalmiddlefrontal,0.36937798634231067
lh_caudalmiddlefrontal-rh_cuneus,0.0
lh_caudalmiddlefrontal-rh_entorhinal,-0.0
lh_caudalmiddlefrontal-rh_fusiform,0.0
lh_caudalmiddlefrontal-rh_inferiorparietal,-0.26585569374296725
lh_caudalmiddlefrontal-rh_inferiortemporal,0.0
lh_caudalmiddlefrontal-rh_isthmuscingulate,-0.0
lh_caudalmiddlefrontal-rh_lateraloccipital,0.0
lh_caudalmiddlefrontal-rh_lateralorbitofrontal,0.1238243777107445
lh_caudalmiddlefrontal-rh_lingual,0.17518428714132556
lh_caudalmiddlefrontal-rh_medialorbitofrontal,-0.0
lh_caudalmiddlefrontal-rh_middletemporal,0.2033140458640131
lh_caudalmiddlefrontal-rh_parahippocampal,0.0
lh_caudalmiddlefrontal-rh_paracentral,0.042542041449084106
lh_caudalmiddlefrontal-rh_parsopercularis,0.0
lh_caudalmiddlefrontal-rh_parsorbitalis,0.0
lh_caudalmiddlefrontal-rh_parstriangularis,-0.11674123032533389
lh_caudalmiddlefrontal-rh_pericalcarine,0.04099603766876967
lh_caudalmiddlefrontal-rh_postcentral,0.0
lh_caudalmiddlefrontal-rh_posteriorcingulate,0.1811439932794437
lh_caudalmiddlefrontal-rh_precentral,0.6646526537414092
lh_caudalmiddlefrontal-rh_precuneus,0.0
lh_caudalmiddlefrontal-rh_rostralanteriorcingulate,0.0
lh_caudalmiddlefrontal-rh_rostralmiddlefrontal,0.0
lh_caudalmiddlefrontal-rh_superiorfrontal,-0.3235776662819358
lh_caudalmiddlefrontal-rh_superiorparietal,0.0
lh_caudalmiddlefrontal-rh_superiortemporal,0.15748903539669395
lh_caudalmiddlefrontal-rh_supramarginal,-0.7890378704635383
lh_caudalmiddlefrontal-rh_frontalpole,-0.7327351064458142
lh_caudalmiddlefrontal-rh_temporalpole,-0.06890487388596951
lh_caudalmiddlefrontal-rh_transversetemporal,0.1390654622063249
lh_caudalmiddlefrontal-rh_insula,0.0
lh_cuneus-lh_entorhinal,0.6109257486835056
lh_cuneus-lh_fusiform,0.4261985461788423
lh_cuneus-lh_inferiorparietal,0.0
lh_cuneus-lh_inferiortemporal,0.0
lh_cuneus-lh_isthmuscingulate,-0.19935932820422297
lh_cuneus-lh_lateraloccipital,0.0
lh_cuneus-lh_lateralorbitofrontal,0.0
lh_cuneus-lh_lingual,-0.8232545948532297
lh_cuneus-lh_medialorbitofrontal,0.037701392669875405
lh_cuneus-lh_middletemporal,-0.0
lh_cuneus-lh_parahippocampal,-0.0
lh_cuneus-lh_paracentral,-0.0
lh_cuneus-lh_parsopercularis,0.0
lh_cuneus-lh_parsorbitalis,0.22088539671113988
lh_cuneus-lh_parstriangularis,-0.0
lh_cuneus-lh_pericalcarine,0.0
lh_cuneus-lh_postcentral,0.0
lh_cuneus-lh_posteriorcingulate,0.05373735573397021
lh_cuneus-lh_precentral,0.1411059915635961
lh_cuneus-lh_precuneus,0.0
lh_cuneus-lh_rostralanteriorcingulate,0.0
lh_cuneus-lh_rostralmiddlefrontal,0.0
