Row,Component_1,Component_2,Component_3
lh_isthmuscingulate-lh_temporalpole,-3.63941542323008e-07,2.25500012790991e-05,-1.28732386718778e-06
lh_isthmuscingulate-lh_transversetemporal,-9.7758322205045e-06,-2.74217608666515e-06,-1.62183481356639e-05
lh_isthmuscingulate-lh_insula,-3.75993622842706e-06,1.18094788181408e-05,-8.43165990158875e-06
lh_isthmuscingulate-rh_bankssts,-7.94310591178644e-07,1.44550079711646e-05,4.59595658378287e-06
lh_isthmuscingulate-rh_caudalanteriorcingulate,-1.25529730594729e-05,-1.67727994180112e-05,-2.67029883197946e-05
lh_isthmuscingulate-rh_caudalmiddlefrontal,1.19415240583749e-05,3.99975326165541e-05,3.34739498167357e-05
lh_isthmuscingulate-rh_cuneus,-8.43786085403223e-06,-1.05346367781037e-05,-5.27235507113905e-05
lh_isthmuscingulate-rh_entorhinal,-3.70071324817256e-06,5.80942532312217e-06,-2.22667076922344e-05
lh_isthmuscingulate-rh_fusiform,3.17168764253523e-06,2.34735611929495e-05,1.63308040906075e-05
lh_isthmuscingulate-rh_inferiorparietal,6.5199230973791e-06,2.61753760563763e-05,7.28342050062117e-06
lh_isthmuscingulate-rh_inferiortemporal,5.90037222443874e-06,2.82225526354827e-05,1.47769318431674e-05
lh_isthmuscingulate-rh_isthmuscingulate,-3.62820137161616e-06,-7.3898108562952e-07,1.07099938220749e-05
lh_isthmuscingulate-rh_lateraloccipital,2.67283464378462e-06,1.7730676947189e-05,1.94621798339677e-05
lh_isthmuscingulate-rh_lateralorbitofrontal,2.70270267307481e-06,2.13433767820129e-05,9.77534866213742e-06
lh_isthmuscingulate-rh_lingual,-7.12437400079446e-06,-5.567192320689e-06,-3.32047985217374e-05
lh_isthmuscingulate-rh_medialorbitofrontal,6.17268409614086e-07,2.30736621583157e-05,2.34393074531965e-05
lh_isthmuscingulate-rh_middletemporal,3.67615726216152e-06,2.77939484209151e-05,2.15481241404118e-05
lh_isthmuscingulate-rh_parahippocampal,-3.26867625807059e-06,5.05974838769075e-06,-1.71741543118014e-05
lh_isthmuscingulate-rh_paracentral,-8.65508364848185e-07,1.47721515921665e-05,-3.68806307285092e-06
lh_isthmuscingulate-rh_parsopercularis,1.00197484102505e-05,3.75886740913858e-05,3.70823394984746e-05
lh_isthmuscingulate-rh_parsorbitalis,6.65587111943304e-06,3.49273596571026e-05,4.0884225780941e-05
lh_isthmuscingulate-rh_parstriangularis,1.10621968076558e-05,3.71682738233931e-05,3.47069640470954e-05
lh_isthmuscingulate-rh_pericalcarine,-3.14062548224057e-06,-5.3256396490981e-06,-3.07255998786794e-05
lh_isthmuscingulate-rh_postcentral,-5.72251547837579e-07,1.60301024500494e-05,9.26206832639524e-06
lh_isthmuscingulate-rh_posteriorcingulate,-1.5491306390432e-05,-1.98912317002749e-05,-3.94782700135746e-05
lh_isthmuscingulate-rh_precentral,9.12646029865591e-06,3.48253068818383e-05,1.9256818703503e-05
lh_isthmuscingulate-rh_precuneus,4.25359373123557e-06,2.1051312559981e-05,1.59342901088472e-06
lh_isthmuscingulate-rh_rostralanteriorcingulate,-1.12711350183949e-05,-9.08668755189543e-06,-1.39507855809559e-05
lh_isthmuscingulate-rh_rostralmiddlefrontal,1.08437894061887e-05,3.43214720150196e-05,2.0629197520173e-05
lh_isthmuscingulate-rh_superiorfrontal,6.77880541590905e-06,2.91282764562098e-05,4.48951456724719e-06
lh_isthmuscingulate-rh_superiorparietal,1.16337358752544e-05,4.08648873194046e-05,4.81286824312233e-05
lh_isthmuscingulate-rh_superiortemporal,4.93999454018526e-06,3.23482859245525e-05,2.07364931793858e-05
lh_isthmuscingulate-rh_supramarginal,9.92532474546919e-06,3.57758072581398e-05,2.7133805464056e-05
lh_isthmuscingulate-rh_frontalpole,-7.57773015645607e-06,6.19681484642169e-06,7.07438089183964e-06
lh_isthmuscingulate-rh_temporalpole,-6.14885844333732e-07,2.18096473977952e-05,-3.62381043534996e-06
lh_isthmuscingulate-rh_transversetemporal,-1.11127017848449e-05,-4.95414495129912e-06,-1.99011123490684e-05
lh_isthmuscingulate-rh_insula,-1.07116668678806e-05,-2.05648986762015e-06,-3.17005989745204e-05
lh_lateraloccipital-lh_lateralorbitofrontal,-9.09609839860524e-06,3.55836015993588e-06,-1.40795758882767e-05
lh_lateraloccipital-lh_lingual,-5.73748798439908e-06,-6.51219835328897e-07,-3.65390081456933e-05
lh_lateraloccipital-lh_medialorbitofrontal,-7.13874369910987e-06,1.25046682765715e-05,3.06911133299008e-05
lh_lateraloccipital-lh_middletemporal,-2.16065452758037e-06,1.90276911716477e-05,-1.58736427813445e-06
lh_lateraloccipital-lh_parahippocampal,-6.90065648913711e-06,2.31978128348372e-06,-1.64255567534179e-07
lh_lateraloccipital-lh_paracentral,-3.85563241346726e-06,1.02700764545855e-05,-1.76352999651605e-06
lh_lateraloccipital-lh_parsopercularis,5.23406236247689e-07,1.63040540420043e-05,-1.26158777197635e-05
lh_lateraloccipital-lh_parsorbitalis,-3.1747475801948e-06,1.61880323555462e-05,1.49159180729695e-05
lh_lateraloccipital-lh_parstriangularis,-6.60929371236877e-06,3.58369047590417e-06,-2.58741635164355e-05
lh_lateraloccipital-lh_pericalcarine,1.66072762060308e-06,1.18173501505503e-05,-2.7041322582215e-06
lh_lateraloccipital-lh_postcentral,-1.31769304909988e-05,-9.78479041778666e-06,-4.22829679377786e-05
lh_lateraloccipital-lh_posteriorcingulate,-1.66561765201134e-05,-1.03451861804447e-05,-2.65472691913348e-05
lh_lateraloccipital-lh_precentral,7.94388406626397e-06,2.98472563728951e-05,7.72894727667006e-06
lh_lateraloccipital-lh_precuneus,-2.71009164211724e-06,1.30589863030334e-05,3.53278958068432e-06
lh_lateraloccipital-lh_rostralanteriorcingulate,-2.05680963936225e-05,-6.39122107718572e-06,7.35540998519531e-06
lh_lateraloccipital-lh_rostralmiddlefrontal,-8.62863004079251e-06,3.32691973066114e-06,-2.52531808487835e-05
lh_lateraloccipital-lh_superiorfrontal,-2.07159367172377e-06,1.59096975080906e-05,-7.01098283832227e-06
lh_lateraloccipital-lh_superiorparietal,-6.28451426912084e-06,5.16872152387168e-06,-2.16481359435473e-05
lh_lateraloccipital-lh_superiortemporal,4.2854352223437e-06,2.96382463142576e-05,1.46563381780127e-05
lh_lateraloccipital-lh_supramarginal,8.0036591094269e-08,1.74675421691503e-05,-8.63608137827357e-06
lh_lateraloccipital-lh_frontalpole,-1.41081152507163e-05,-1.10548290098786e-05,-1.63826911987022e-05
lh_lateraloccipital-lh_temporalpole,2.03239828735976e-06,2.60652981643547e-05,7.18693893096318e-06
lh_lateraloccipital-lh_transversetemporal,-1.20775721896905e-05,-6.98961781156257e-06,-2.05769473660628e-05
lh_lateraloccipital-lh_insula,-2.72974810292851e-07,1.84344261093799e-05,8.33254991349063e-06
lh_lateraloccipital-rh_bankssts,-6.64721544143414e-06,3.69061723143627e-06,-2.82073275427874e-06
lh_lateraloccipital-rh_caudalanteriorcingulate,-1.72903332609189e-05,-1.50935026662283e-05,-3.08169328977687e-05
lh_lateraloccipital-rh_caudalmiddlefrontal,-1.18035103265182e-06,1.4682078219939e-05,-2.52159327508896e-06
lh_lateraloccipital-rh_cuneus,-8.18496655134178e-06,-1.54935891813985e-05,-7.30630346458669e-05
lh_lateraloccipital-rh_entorhinal,-8.35932429802732e-07,1.42990637721906e-05,1.2196639137428e-05
lh_lateraloccipital-rh_fusiform,-1.45749602419877e-06,2.36618256538054e-05,3.30526450184246e-05
lh_lateraloccipital-rh_inferiorparietal,-6.63406155497781e-06,5.08888550723912e-06,-1.95149150161482e-05
lh_lateraloccipital-rh_inferiortemporal,1.19468010639451e-06,2.96112656824011e-05,4.30976877930784e-05
lh_lateraloccipital-rh_isthmuscingulate,1.17604651421522e-06,1.54336111094842e-05,1.66028473777378e-05
lh_lateraloccipital-rh_lateraloccipital,-1.38456819323122e-05,-8.37968431174176e-06,-2.05878383841357e-05
lh_lateraloccipital-rh_lateralorbitofrontal,-9.90570473045878e-06,6.98178857375568e-06,6.79071960693686e-06
lh_lateraloccipital-rh_lingual,-7.305490124058e-07,8.4793516198868e-06,-1.50957069171854e-05
lh_lateraloccipital-rh_medialorbitofrontal,-1.04286777239768e-05,8.72735788151833e-06,2.7532362356527e-05
lh_lateraloccipital-rh_middletemporal,-1.99700633972256e-06,2.11641424596229e-05,1.63484860483499e-05
lh_lateraloccipital-rh_parahippocampal,-1.1468433685549e-05,-7.18785894886463e-06,-1.81692532093047e-05
lh_lateraloccipital-rh_paracentral,-1.05661007919184e-05,-7.22959738523109e-06,-4.56974368079648e-05
lh_lateraloccipital-rh_parsopercularis,-1.35115613695241e-07,1.75100975645402e-05,4.08028549681446e-06
lh_lateraloccipital-rh_parsorbitalis,-2.07532929240049e-06,1.90705838307894e-05,2.87003869868036e-05
lh_lateraloccipital-rh_parstriangularis,-7.64438126756235e-06,-2.44405083949999e-06,-4.08762741548216e-05
lh_lateraloccipital-rh_pericalcarine,3.60323448947215e-06,9.05361407086232e-06,-1.34323383211592e-05
lh_lateraloccipital-rh_postcentral,-1.11859021082498e-05,-4.60726607915654e-06,-2.5685963943597e-05
lh_lateraloccipital-rh_posteriorcingulate,-1.351360676763e-05,-3.53698981054134e-06,-1.13424900336396e-05
lh_lateraloccipital-rh_precentral,2.72044299184852e-06,2.04311498380411e-05,-1.66586531131611e-06
lh_lateraloccipital-rh_precuneus,-3.24010673821532e-06,1.46083405593092e-05,1.46590666144618e-05
lh_lateraloccipital-rh_rostralanteriorcingulate,-2.08217478640521e-05,-1.35191931285524e-05,-5.51107742816492e-06
lh_lateraloccipital-rh_rostralmiddlefrontal,-1.36167175018249e-05,-8.61966078098145e-06,-4.16418160713764e-05
lh_lateraloccipital-rh_superiorfrontal,-5.00260370920301e-06,9.76836235444472e-06,-8.20789720782346e-06
lh_lateraloccipital-rh_superiorparietal,-9.47025810518794e-06,-6.47180278490657e-07,-2.71377303779225e-05
lh_lateraloccipital-rh_superiortemporal,5.94322948862371e-06,3.71620129431683e-05,4.51521851106038e-05
lh_lateraloccipital-rh_supramarginal,1.85185995549327e-06,2.50366224952834e-05,2.13784576174284e-05
lh_lateraloccipital-rh_frontalpole,-1.82034025476831e-05,-1.743583696183e-05,-1.95942898390349e-05
lh_lateraloccipital-rh_temporalpole,1.88707418183926e-06,2.44910625153028e-05,4.42333669685479e-06
lh_lateraloccipital-rh_transversetemporal,-1.53533733300644e-05,-1.50461096882548e-05,-3.78575269028025e-05
lh_lateraloccipital-rh_insula,-5.82289224254231e-06,7.33754778999303e-06,-1.12471348557664e-05
lh_lateralorbitofrontal-lh_lingual,-3.16582883469698e-06,1.38325873302004e-05,-2.1336691736233e-05
lh_lateralorbitofrontal-lh_medialorbitofrontal,-1.10164361582021e-05,-3.97161161473674e-06,-5.17340647450645e-06
lh_lateralorbitofrontal-lh_middletemporal,-1.70977118822061e-05,-9.57250170705313e-06,3.34934535353621e-06
lh_lateralorbitofrontal-lh_parahippocampal,-9.76408393133384e-06,-1.06303756000988e-05,-2.38952367094144e-05
lh_lateralorbitofrontal-lh_paracentral,-1.56647242656761e-05,-6.25385460385989e-06,-4.23284000724959e-06
lh_lateralorbitofrontal-lh_parsopercularis,-1.64094290004265e-05,-1.45941044828582e-05,-1.82614482041513e-05
lh_lateralorbitofrontal-lh_parsorbitalis,-1.02229514031105e-05,4.17876303869034e-06,2.07315028263235e-05
lh_lateralorbitofrontal-lh_parstriangularis,-1.46469779203894e-05,-1.02708034601594e-05,-1.07810617081773e-05
lh_lateralorbitofrontal-lh_pericalcarine,1.42689229083627e-06,1.80276803624725e-05,-2.07251857584438e-05
lh_lateralorbitofrontal-lh_postcentral,-1.62700562284294e-05,-8.4825324530593e-06,-2.38806338492745e-05
lh_lateralorbitofrontal-lh_posteriorcingulate,-9.20561813140313e-06,8.29293482225462e-06,2.11317190366101e-05
lh_lateralorbitofrontal-lh_precentral,-2.00178992393782e-05,-2.03499636575275e-05,-2.55768562372538e-05
lh_lateralorbitofrontal-lh_precuneus,-1.68113678614308e-05,-1.19630583100605e-05,-1.41693794920075e-05
lh_lateralorbitofrontal-lh_rostralanteriorcingulate,-2.25747185521202e-05,-1.34575730534967e-05,5.31669799290653e-06
lh_lateralorbitofrontal-lh_rostralmiddlefrontal,-1.55251152231343e-05,-1.44910436517177e-05,-2.98941733311128e-05
lh_lateralorbitofrontal-lh_superiorfrontal,-1.66458456134364e-05,-1.26207410198048e-05,-1.31603900934121e-05
lh_lateralorbitofrontal-lh_superiorparietal,-8.64565364488848e-06,4.61622098043575e-06,-7.8298995630052e-06
lh_lateralorbitofrontal-lh_superiortemporal,-1.81044075630225e-05,-1.36208730609073e-05,-1.87549147610311e-05
lh_lateralorbitofrontal-lh_supramarginal,-2.40664604294018e-05,-3.3400507934581e-05,-5.29159953445552e-05
lh_lateralorbitofrontal-lh_frontalpole,-1.62764680851052e-05,-1.11687020299829e-05,-7.78789178764966e-06
lh_lateralorbitofrontal-lh_temporalpole,-3.2666705500556e-06,1.4344077226656e-05,-9.20023992479257e-06
lh_lateralorbitofrontal-lh_transversetemporal,-2.10491126637297e-05,-2.7167444535912e-05,-4.51757556056354e-05
lh_lateralorbitofrontal-lh_insula,-3.53499596145901e-06,1.0996601179052e-05,-2.16035840451256e-06
lh_lateralorbitofrontal-rh_bankssts,-1.68003791391778e-05,-1.72817032730057e-05,-1.56789960417979e-05
lh_lateralorbitofrontal-rh_caudalanteriorcingulate,-2.61435055902488e-06,1.49632945929102e-05,2.87894337281855e-05
lh_lateralorbitofrontal-rh_caudalmiddlefrontal,-1.65855930456623e-05,-1.29632436098644e-05,-1.61078167884836e-05
lh_lateralorbitofrontal-rh_cuneus,-4.93412815434886e-06,9.94806823613706e-07,-6.06721897346525e-05
lh_lateralorbitofrontal-rh_entorhinal,-9.90260809956293e-06,-5.85797279730563e-06,-1.80660202740824e-05
lh_lateralorbitofrontal-rh_fusiform,-1.24778969969125e-05,-1.61004634454432e-06,1.72713370570615e-05
lh_lateralorbitofrontal-rh_inferiorparietal,-2.12203309257584e-05,-2.46932102149838e-05,-3.31307013383147e-05
lh_lateralorbitofrontal-rh_inferiortemporal,-1.96350542150151e-05,-1.6916042918163e-05,-2.06666350424572e-05
lh_lateralorbitofrontal-rh_isthmuscingulate,1.89171209781171e-06,1.4246432575311e-05,-1.75866121103117e-05
lh_lateralorbitofrontal-rh_lateraloccipital,-9.82673993066012e-06,6.26674737622117e-07,-1.72179219572475e-05
lh_lateralorbitofrontal-rh_lateralorbitofrontal,-1.76772317274511e-05,-1.53216867906977e-05,-7.23068287796975e-06
lh_lateralorbitofrontal-rh_lingual,-1.7532551112183e-06,1.22369015889312e-05,-3.27935916361884e-05
lh_lateralorbitofrontal-rh_medialorbitofrontal,-1.40075575444343e-05,-9.6396970188272e-06,-1.16357015516238e-05
lh_lateralorbitofrontal-rh_middletemporal,-2.17404057261864e-05,-2.08712017179522e-05,-2.46254181423906e-05
lh_lateralorbitofrontal-rh_parahippocampal,-1.17838299280768e-05,-1.39827614546394e-05,-2.95192730971874e-05
lh_lateralorbitofrontal-rh_paracentral,-1.39557982366048e-05,-4.40418949607622e-06,2.53075457834394e-07
lh_lateralorbitofrontal-rh_parsopercularis,-1.23577789808216e-05,-3.74530224394564e-06,7.17878442505004e-06
lh_lateralorbitofrontal-rh_parsorbitalis,-1.14074753998054e-05,1.33098118009155e-06,1.7795986885794e-05
lh_lateralorbitofrontal-rh_parstriangularis,-1.2782780536739e-05,-6.94927608089484e-06,-5.09332193119731e-06
lh_lateralorbitofrontal-rh_pericalcarine,3.04242924251359e-06,1.43108831089095e-05,-3.11883449121093e-05
lh_lateralorbitofrontal-rh_postcentral,-1.11049293090566e-05,6.93929403161536e-07,-8.11211231763717e-06
lh_lateralorbitofrontal-rh_posteriorcingulate,-8.87690296910443e-06,3.57120622237341e-06,-2.42088891837693e-06
lh_lateralorbitofrontal-rh_precentral,-1.80813378582043e-05,-1.51789490420789e-05,-1.63424410075456e-05
lh_lateralorbitofrontal-rh_precuneus,-1.6638506252089e-05,-1.23768502755712e-05,-1.80185954626896e-05
lh_lateralorbitofrontal-rh_rostralanteriorcingulate,-2.27581553879487e-05,-1.83460398615014e-05,-4.14105052036476e-06
lh_lateralorbitofrontal-rh_rostralmiddlefrontal,-1.40264475758911e-05,-1.20595249847877e-05,-3.43998425005712e-05
lh_lateralorbitofrontal-rh_superiorfrontal,-1.8359530943877e-05,-1.46700224018609e-05,-1.1675193735212e-05
lh_lateralorbitofrontal-rh_superiorparietal,-4.88292983984922e-06,1.30775345472217e-05,1.06840169199521e-05
lh_lateralorbitofrontal-rh_superiortemporal,-1.77398197388312e-05,-1.01021800546309e-05,-8.90101981763761e-06
lh_lateralorbitofrontal-rh_supramarginal,-2.34465288825772e-05,-3.01458358013683e-05,-4.70183171471406e-05
lh_lateralorbitofrontal-rh_frontalpole,-1.88692288653412e-05,-1.55073837286803e-05,-1.21050683650537e-05
lh_lateralorbitofrontal-rh_temporalpole,-1.69112030453691e-06,1.78094770490473e-05,-2.15387806756074e-06
lh_lateralorbitofrontal-rh_transversetemporal,-1.78484969794777e-05,-1.90636752535778e-05,-2.74035078528697e-05
lh_lateralorbitofrontal-rh_insula,-7.99454616673835e-06,2.79526365869859e-06,-1.58573305519476e-05
lh_lingual-lh_medialorbitofrontal,-7.87005367989571e-06,1.02952192263383e-05,-1.2651292552187e-05
lh_lingual-lh_middletemporal,-5.1685438109702e-07,2.2622649981901e-05,-9.30431391198334e-06
lh_lingual-lh_parahippocampal,-5.16387095141622e-06,5.37519770180922e-06,-1.32714129659832e-05
lh_lingual-lh_paracentral,-3.54201690706364e-06,9.32897160085298e-06,-3.56899558489886e-05
lh_lingual-lh_parsopercularis,3.30791277205573e-06,2.69563236181522e-05,-7.46818383660979e-06
lh_lingual-lh_parsorbitalis,-2.09803269298216e-07,2.3451917454706e-05,-3.78211815521671e-06
lh_lingual-lh_parstriangularis,-3.48433355358186e-06,1.32575181568297e-05,-3.49857297870122e-05
lh_lingual-lh_pericalcarine,2.51024805668103e-06,1.27924081542788e-05,2.0574458359281e-05
lh_lingual-lh_postcentral,-3.45456542344745e-06,7.71680919673088e-06,-4.35198725522846e-05
lh_lingual-lh_posteriorcingulate,-1.16853601597177e-05,-3.01273868705638e-06,-1.25362138078153e-05
lh_lingual-lh_precentral,8.86631582133568e-06,3.60339650727295e-05,4.38654415912878e-06
lh_lingual-lh_precuneus,1.01478713798131e-06,2.33619933334721e-05,1.99106453054297e-08
lh_lingual-lh_rostralanteriorcingulate,-1.49334465666547e-05,-5.65112933477699e-07,-1.00866799525908e-06
lh_lingual-lh_rostralmiddlefrontal,3.81165140531012e-07,2.28397182131596e-05,-1.47401619633825e-05
lh_lingual-lh_superiorfrontal,1.32277563467579e-06,2.64239009220594e-05,-7.59817540186653e-06
lh_lingual-lh_superiorparietal,1.90195172871714e-06,2.42421423071755e-05,-5.71623195443464e-06
lh_lingual-lh_superiortemporal,2.54521770542893e-06,2.94431437576816e-05,-2.2887004851963e-06
lh_lingual-lh_supramarginal,1.81154939216532e-06,2.37546775650622e-05,-1.50148998392557e-05
lh_lingual-lh_frontalpole,-7.52084735914908e-06,4.94922620716288e-06,-1.74348838644912e-05
lh_lingual-lh_temporalpole,6.99477056801218e-07,2.70520599033964e-05,7.45300474610137e-07
lh_lingual-lh_transversetemporal,-7.84743808565615e-06,5.07860362202837e-06,-6.78620768245465e-06
lh_lingual-lh_insula,-1.34399494872204e-06,2.26532323613614e-05,1.91454630506262e-05
lh_lingual-rh_bankssts,-4.1827169028235e-06,1.37602667397672e-05,2.90720066824142e-06
lh_lingual-rh_caudalanteriorcingulate,-1.44344581947842e-05,-1.08337289981395e-05,-2.16835484276478e-05
lh_lingual-rh_caudalmiddlefrontal,3.72803468460751e-06,2.77980197784197e-05,3.43728981589558e-06
lh_lingual-rh_cuneus,-1.17082592408838e-05,-1.58857114480767e-05,-5.52719646236908e-05
lh_lingual-rh_entorhinal,-4.21439873072406e-06,7.71105621049524e-06,-2.20792693770495e-05
lh_lingual-rh_fusiform,-6.82362244083506e-07,2.37713910337867e-05,2.15416555832157e-05
lh_lingual-rh_inferiorparietal,-1.78622229471306e-06,1.54992876641155e-05,-2.08711970176085e-05
lh_lingual-rh_inferiortemporal,-2.31890259435947e-06,1.80089455781744e-05,-6.33878169561741e-06
lh_lingual-rh_isthmuscingulate,-4.78384464087677e-06,7.2021796787802e-06,8.974811994882e-06
lh_lingual-rh_lateraloccipital,-6.66901311151272e-06,5.72402264597405e-08,-2.58688331849348e-05
lh_lingual-rh_lateralorbitofrontal,-5.39737079508095e-06,1.12502707017771e-05,-1.26487913069574e-05
lh_lingual-rh_lingual,-2.36414835359409e-06,1.06653385003338e-05,1.98281025870963e-05
lh_lingual-rh_medialorbitofrontal,-1.01689805967253e-05,6.27413573960303e-06,-1.56691573409157e-05
lh_lingual-rh_middletemporal,-2.19276682685562e-06,1.97729975071485e-05,-6.55908465592708e-06
lh_lingual-rh_parahippocampal,-9.10859029293881e-06,-4.20762801036348e-06,-3.32990996773473e-05
lh_lingual-rh_paracentral,-5.85210664287459e-06,5.1062677808743e-06,-3.92235763615242e-05
lh_lingual-rh_parsopercularis,2.19680170325416e-06,2.60772080674157e-05,4.63002067360069e-06
lh_lingual-rh_parsorbitalis,-5.87144874965018e-07,2.18362080656257e-05,-1.66498356467754e-06
lh_lingual-rh_parstriangularis,-2.89962334897241e-06,1.3085552635715e-05,-2.86799249922913e-05
lh_lingual-rh_pericalcarine,2.34822143588234e-06,7.11720731495889e-06,3.18279039413512e-06
lh_lingual-rh_postcentral,-3.14885629729595e-06,1.25044030953362e-05,-1.54424084992447e-05
lh_lingual-rh_posteriorcingulate,-7.40934240351693e-06,9.39071010851315e-06,2.20566279703655e-05
lh_lingual-rh_precentral,4.57047580761349e-06,2.67132724590282e-05,-5.54530071735588e-06
lh_lingual-rh_precuneus,-2.20270233366763e-06,1.7298679467649e-05,-5.00227902135028e-06
lh_lingual-rh_rostralanteriorcingulate,-1.63544559197137e-05,-8.97923381890269e-06,-1.41337325378508e-05
lh_lingual-rh_rostralmiddlefrontal,-2.66285356370101e-06,1.57410097826717e-05,-1.87229086046207e-05
lh_lingual-rh_superiorfrontal,-1.60165239945864e-06,1.91669005664459e-05,-1.3174024344527e-05
lh_lingual-rh_superiorparietal,-2.53416526783238e-06,1.37051762963841e-05,-1.84656135359083e-05
lh_lingual-rh_superiortemporal,3.23185515516871e-06,3.3497938155631e-05,1.80063003923165e-05
lh_lingual-rh_supramarginal,2.5131490072417e-06,2.66124380201527e-05,2.85357318479705e-07
lh_lingual-rh_frontalpole,-1.0886678121768e-05,-5.48919548699849e-07,-2.02868450625328e-05
lh_lingual-rh_temporalpole,1.94928186620303e-07,2.40642070376928e-05,-4.3593646333104e-06
lh_lingual-rh_transversetemporal,-1.08037198198404e-05,-1.81785315597695e-06,-1.75273481541591e-05
lh_lingual-rh_insula,-5.47280487073427e-06,1.58987866395487e-05,1.31737300709357e-05
lh_medialorbitofrontal-lh_middletemporal,-1.27870255051589e-05,-1.15093821078926e-06,4.01837270222869e-07
lh_medialorbitofrontal-lh_parahippocampal,-1.29799799165272e-05,-1.23458452457012e-05,-3.45965556010004e-05
lh_medialorbitofrontal-lh_paracentral,-1.23947348782031e-05,8.07032258668091e-06,3.86974934524019e-05
lh_medialorbitofrontal-lh_parsopercularis,-4.19512029383281e-06,1.3566419324497e-05,3.14814855074085e-05
lh_medialorbitofrontal-lh_parsorbitalis,-5.88858782122709e-07,1.89428581582938e-05,4.90855323410429e-05
lh_medialorbitofrontal-lh_parstriangularis,-7.83214561691279e-06,9.0790673069258e-06,3.21859017624507e-05
lh_medialorbitofrontal-lh_pericalcarine,-2.9062388027659e-06,1.31205473251579e-05,-4.65566955426925e-06
lh_medialorbitofrontal-lh_postcentral,-1.32156328586005e-05,6.11275347522436e-06,2.59762465091998e-05
lh_medialorbitofrontal-lh_posteriorcingulate,-1.99042740980813e-05,-1.11093031764895e-05,-1.06840456714077e-05
lh_medialorbitofrontal-lh_precentral,-6.06371393952486e-06,1.74736753776269e-05,4.23950379998713e-05
lh_medialorbitofrontal-lh_precuneus,-1.07809835148172e-05,4.99144583026603e-06,3.76263678229728e-05
lh_medialorbitofrontal-lh_rostralanteriorcingulate,-2.47285969509203e-05,-2.11909694837609e-05,-2.27638112165494e-05
lh_medialorbitofrontal-lh_rostralmiddlefrontal,-1.36917566019454e-05,-4.14073776959616e-06,7.90910859085793e-06
lh_medialorbitofrontal-lh_superiorfrontal,-6.46713220742891e-06,6.83702096457123e-06,1.06121751336068e-05
lh_medialorbitofrontal-lh_superiorparietal,-6.81721117881195e-06,1.71832222253629e-05,4.57915117834883e-05
lh_medialorbitofrontal-lh_superiortemporal,-4.42229896028748e-06,1.70078181697918e-05,3.29351992905511e-05
lh_medialorbitofrontal-lh_supramarginal,-8.12773234157658e-06,5.63058123800764e-06,2.46436000535652e-05
lh_medialorbitofrontal-lh_frontalpole,-4.66324674011911e-06,6.2553506439354e-06,3.21472350898603e-05
lh_medialorbitofrontal-lh_temporalpole,3.69018190323707e-06,2.515010639856e-05,8.39426632338355e-06
lh_medialorbitofrontal-lh_transversetemporal,-1.87442757475371e-05,-1.19980817875356e-05,-2.26556191234799e-06
lh_medialorbitofrontal-lh_insula,-7.18856114618215e-06,8.95326718322836e-06,3.58862749222686e-06
lh_medialorbitofrontal-rh_bankssts,-1.12062763403277e-05,-1.49357942013768e-06,1.09415722713488e-05
lh_medialorbitofrontal-rh_caudalanteriorcingulate,-1.24794337727503e-05,-2.58682389685955e-06,-1.07877396293145e-06
lh_medialorbitofrontal-rh_caudalmiddlefrontal,-6.81778645575294e-06,1.32467415657012e-05,3.82875023596379e-05
lh_medialorbitofrontal-rh_cuneus,-3.41036803173868e-06,7.37935530357424e-06,-3.10219416649452e-05
lh_medialorbitofrontal-rh_entorhinal,-2.77582338880826e-06,6.93520537747983e-06,2.60375853409241e-06
lh_medialorbitofrontal-rh_fusiform,-1.22367445048571e-05,-1.26200121151652e-06,7.01205461585313e-06
lh_medialorbitofrontal-rh_inferiorparietal,-1.19599959673333e-05,1.87499194698154e-06,3.35827815766212e-05
lh_medialorbitofrontal-rh_inferiortemporal,-9.40403181439757e-06,2.07528798613178e-06,1.18356679192491e-05
lh_medialorbitofrontal-rh_isthmuscingulate,-3.93437414715974e-06,6.97643686142138e-06,-1.5199342987604e-05
lh_medialorbitofrontal-rh_lateraloccipital,-9.15158778806096e-06,6.59628065821118e-06,1.85928190572443e-05
lh_medialorbitofrontal-rh_lateralorbitofrontal,-1.26772296282787e-05,-4.90754696609475e-06,-2.05559852365458e-06
lh_medialorbitofrontal-rh_lingual,-3.69554016858069e-06,1.55378808775996e-05,-5.73788129174042e-06
lh_medialorbitofrontal-rh_medialorbitofrontal,-9.50013483547205e-06,2.11287597009503e-07,2.13158494300224e-05
lh_medialorbitofrontal-rh_middletemporal,-1.29177962534462e-05,-2.97256378097301e-07,7.56838473377634e-06
lh_medialorbitofrontal-rh_parahippocampal,-1.62564934712716e-05,-1.77205024167612e-05,-4.11838387832464e-05
lh_medialorbitofrontal-rh_paracentral,-1.46752206549781e-05,-8.02845981825558e-07,1.39916271282183e-05
lh_medialorbitofrontal-rh_parsopercularis,-3.26752479709507e-06,1.7200924330701e-05,4.43587006290235e-05
lh_medialorbitofrontal-rh_parsorbitalis,-3.46293078646293e-06,1.0553506626637e-05,3.16680259471778e-05
lh_medialorbitofrontal-rh_parstriangularis,-4.9318743551064e-06,1.34158646629824e-05,4.35011978837444e-05
lh_medialorbitofrontal-rh_pericalcarine,-1.22468626873521e-06,9.93323494752225e-06,-1.64964235456733e-05
