Row,Component_1,Component_2,Component_3
lh_bankssts-rh_rostralmiddlefrontal,-1.30944496494688e-05,-1.17776194749523e-05,-1.54552791831232e-05
lh_bankssts-rh_superiorfrontal,-2.09608369819148e-05,-2.29098057000705e-05,-2.26273430159111e-05
lh_bankssts-rh_superiorparietal,-6.4913598196306e-06,7.19759497931729e-06,1.2413853214899e-05
lh_bankssts-rh_superiortemporal,-1.52344263439655e-05,-1.09525185675828e-05,-7.24553144761903e-06
lh_bankssts-rh_supramarginal,-1.78914303314998e-05,-1.63890668558042e-05,-8.44708995148801e-06
lh_bankssts-rh_frontalpole,-2.03038328831046e-05,-2.15118295600522e-05,-2.25827405623668e-05
lh_bankssts-rh_temporalpole,-1.11669821343477e-05,6.53106319151797e-07,-1.09484091255576e-05
lh_bankssts-rh_transversetemporal,-4.7366953449127e-06,4.88550243157148e-06,3.23630944706135e-05
lh_bankssts-rh_insula,-3.32194989187949e-06,9.05191985988794e-07,2.03443089841123e-06
lh_caudalanteriorcingulate-lh_caudalmiddlefrontal,-7.29063301396814e-06,7.39753610624197e-06,2.8220587308831e-05
lh_caudalanteriorcingulate-lh_cuneus,-1.64757535331104e-05,-1.90368350349124e-05,-4.94601300090092e-05
lh_caudalanteriorcingulate-lh_entorhinal,-1.53901399165717e-05,-1.23588029977121e-05,-1.49218443184603e-05
lh_caudalanteriorcingulate-lh_fusiform,-8.12749064482509e-06,3.39460535921308e-06,2.34777859169653e-05
lh_caudalanteriorcingulate-lh_inferiorparietal,-9.86764106843567e-06,3.63860152282875e-06,2.84881544094485e-05
lh_caudalanteriorcingulate-lh_inferiortemporal,-1.14908393496498e-05,-2.92355677229524e-07,1.8407106015894e-05
lh_caudalanteriorcingulate-lh_isthmuscingulate,-1.12535567253818e-05,-1.17181219427301e-05,-1.01146075210177e-05
lh_caudalanteriorcingulate-lh_lateraloccipital,-1.66764719272513e-05,-1.1546047273303e-05,-7.03043242654358e-06
lh_caudalanteriorcingulate-lh_lateralorbitofrontal,-9.16323892958423e-06,1.50704747542428e-06,2.39918598355969e-05
lh_caudalanteriorcingulate-lh_lingual,-1.2947381054442e-05,-7.08626900308248e-06,-6.57928962923018e-06
lh_caudalanteriorcingulate-lh_medialorbitofrontal,-1.63208505825483e-05,-8.19929722445396e-06,7.15588040049438e-06
lh_caudalanteriorcingulate-lh_middletemporal,-1.1719631240412e-05,4.45383582973158e-06,3.57921365388114e-05
lh_caudalanteriorcingulate-lh_parahippocampal,-7.23056824016107e-06,1.07858331517089e-05,4.15057383977934e-05
lh_caudalanteriorcingulate-lh_paracentral,-1.75695298888074e-05,-1.10801893566964e-05,-9.90653147552564e-07
lh_caudalanteriorcingulate-lh_parsopercularis,-5.81339445806707e-06,1.13026025255457e-05,4.38713704252011e-05
lh_caudalanteriorcingulate-lh_parsorbitalis,-1.25000293921507e-05,3.3214531804998e-06,3.01847762031876e-05
lh_caudalanteriorcingulate-lh_parstriangularis,-1.19917113265936e-05,7.16917461182343e-07,2.20021362497648e-05
lh_caudalanteriorcingulate-lh_pericalcarine,-2.5490679744296e-06,2.68344592907349e-06,-1.26090919935353e-05
lh_caudalanteriorcingulate-lh_postcentral,-1.60503239937841e-05,-6.66352734564449e-06,9.65166845954164e-08
lh_caudalanteriorcingulate-lh_posteriorcingulate,-9.05090580874681e-06,-6.80582292130467e-06,8.57351582402979e-06
lh_caudalanteriorcingulate-lh_precentral,-8.75440178742733e-06,9.56081570108708e-06,4.04384551022701e-05
lh_caudalanteriorcingulate-lh_precuneus,-1.22878017654584e-05,-1.51020384414313e-06,2.04268868037726e-05
lh_caudalanteriorcingulate-lh_rostralanteriorcingulate,-8.63397648603462e-06,-5.05225992309533e-06,1.07803093031998e-05
lh_caudalanteriorcingulate-lh_rostralmiddlefrontal,-1.21205159869576e-05,-2.24084757176621e-06,9.43260502037105e-06
lh_caudalanteriorcingulate-lh_superiorfrontal,-1.01050228202554e-05,3.44316152004098e-06,1.87871819610053e-05
lh_caudalanteriorcingulate-lh_superiorparietal,-9.85207468733533e-06,5.16090654444693e-06,2.25017497531153e-05
lh_caudalanteriorcingulate-lh_superiortemporal,-1.15571369468734e-05,4.13464539782704e-06,2.27495741384864e-05
lh_caudalanteriorcingulate-lh_supramarginal,-1.03582226169604e-05,1.55137658477057e-06,2.42942448750815e-05
lh_caudalanteriorcingulate-lh_frontalpole,-1.71694261920559e-05,-7.91065210635101e-06,9.53151393867987e-06
lh_caudalanteriorcingulate-lh_temporalpole,-7.49020927080038e-06,9.90203948395269e-06,1.09261320285488e-05
lh_caudalanteriorcingulate-lh_transversetemporal,-1.20337339587114e-05,-6.52521998591925e-06,4.53030245138486e-06
lh_caudalanteriorcingulate-lh_insula,2.61472530146164e-06,2.81528168520883e-05,7.34952681258411e-05
lh_caudalanteriorcingulate-rh_bankssts,-6.15988053383265e-06,1.01449629197394e-05,4.08604457570872e-05
lh_caudalanteriorcingulate-rh_caudalanteriorcingulate,-5.5710121760671e-06,-1.96549929238423e-06,5.51761237565016e-06
lh_caudalanteriorcingulate-rh_caudalmiddlefrontal,-5.97656197908751e-06,1.18009237767813e-05,4.0238487430872e-05
lh_caudalanteriorcingulate-rh_cuneus,-1.72183175880437e-05,-2.3962208919385e-05,-6.55565475366372e-05
lh_caudalanteriorcingulate-rh_entorhinal,-1.49434839314432e-05,-1.24063171095358e-05,-1.58815040427619e-05
lh_caudalanteriorcingulate-rh_fusiform,-8.61306425740475e-06,3.13297624129022e-06,2.47423920776657e-05
lh_caudalanteriorcingulate-rh_inferiorparietal,-1.25139953362852e-05,-2.93571435972051e-06,1.37676934320968e-05
lh_caudalanteriorcingulate-rh_inferiortemporal,-1.18892265787115e-05,-1.6341532087238e-06,1.51982159125572e-05
lh_caudalanteriorcingulate-rh_isthmuscingulate,-1.28019101260866e-05,-1.59432276572042e-05,-1.88064184053062e-05
lh_caudalanteriorcingulate-rh_lateraloccipital,-1.69528891014127e-05,-1.10098062900961e-05,-2.93792932297444e-06
lh_caudalanteriorcingulate-rh_lateralorbitofrontal,-9.11104926110033e-06,1.95838448192944e-06,2.71186270846929e-05
lh_caudalanteriorcingulate-rh_lingual,-1.43406505287807e-05,-1.24583915747033e-05,-2.62227367745424e-05
lh_caudalanteriorcingulate-rh_medialorbitofrontal,-1.70145827156425e-05,-1.13243133437105e-05,-1.03378941006094e-06
lh_caudalanteriorcingulate-rh_middletemporal,-1.26445906094792e-05,1.77366235626047e-06,3.00669777093799e-05
lh_caudalanteriorcingulate-rh_parahippocampal,-1.10171980766089e-05,2.50278400173295e-06,2.33726029058533e-05
lh_caudalanteriorcingulate-rh_paracentral,-1.46270603487983e-05,-4.33013564339497e-06,1.54099624083509e-05
lh_caudalanteriorcingulate-rh_parsopercularis,-4.87423763325321e-06,1.43775330627152e-05,5.17932441960933e-05
lh_caudalanteriorcingulate-rh_parsorbitalis,-1.31716599082282e-05,1.63671225277061e-08,2.43269229344684e-05
lh_caudalanteriorcingulate-rh_parstriangularis,-1.01301105327419e-05,4.87145695399675e-06,3.42087946189189e-05
lh_caudalanteriorcingulate-rh_pericalcarine,-3.5303630276428e-06,-2.13935093172423e-06,-2.4037541237631e-05
