Row,Component_1,Component_2
lh_caudalanteriorcingulate-lh_lateralorbitofrontal,-5.04198312518596e-06,5.64783337758875e-05
lh_caudalanteriorcingulate-lh_lingual,-4.65714125469146e-06,4.32845099387384e-06
lh_caudalanteriorcingulate-lh_medialorbitofrontal,-1.62861563493665e-05,1.98835800633784e-05
lh_caudalanteriorcingulate-lh_middletemporal,-9.88259169721602e-06,4.42461912755132e-05
lh_caudalanteriorcingulate-lh_parahippocampal,5.35045371161064e-07,7.16145517691015e-05
lh_caudalanteriorcingulate-lh_paracentral,-1.24025251727935e-05,4.24325583494568e-05
lh_caudalanteriorcingulate-lh_parsopercularis,-1.2002746421826e-07,7.3829260587497e-05
lh_caudalanteriorcingulate-lh_parsorbitalis,-1.24530599936027e-05,3.30263231883104e-05
lh_caudalanteriorcingulate-lh_parstriangularis,-3.10134746031374e-06,6.97708271295126e-05
lh_caudalanteriorcingulate-lh_pericalcarine,7.41736547292078e-06,-4.08644821511128e-05
lh_caudalanteriorcingulate-lh_postcentral,-4.15272174006106e-08,5.48169343759066e-05
lh_caudalanteriorcingulate-lh_posteriorcingulate,-1.63024420843915e-05,-1.60697716576269e-05
lh_caudalanteriorcingulate-lh_precentral,-2.31663184360846e-06,7.77400641687086e-05
lh_caudalanteriorcingulate-lh_precuneus,-6.31614954979645e-06,5.78045173327373e-05
lh_caudalanteriorcingulate-lh_rostralanteriorcingulate,-1.53057781216655e-05,3.48036417546669e-06
lh_caudalanteriorcingulate-lh_rostralmiddlefrontal,-5.68002037401956e-06,5.23061010044008e-05
lh_caudalanteriorcingulate-lh_superiorfrontal,-3.02267790348432e-06,6.71800747771788e-05
lh_caudalanteriorcingulate-lh_superiorparietal,-1.11744596336533e-06,5.61507783382371e-05
lh_caudalanteriorcingulate-lh_superiortemporal,-8.04092179420019e-06,5.0979808027214e-05
lh_caudalanteriorcingulate-lh_supramarginal,-5.18763407092775e-06,6.55487273438518e-05
lh_caudalanteriorcingulate-lh_frontalpole,-1.02327497022337e-05,3.30851079097181e-05
lh_caudalanteriorcingulate-lh_temporalpole,-1.81787980029382e-06,1.88244036899734e-05
lh_caudalanteriorcingulate-lh_transversetemporal,1.10433756902324e-06,6.80822367710285e-05
lh_caudalanteriorcingulate-lh_insula,5.89848121898372e-06,6.25024955570492e-05
lh_caudalanteriorcingulate-rh_bankssts,1.94366629912649e-06,8.77716313728066e-05
lh_caudalanteriorcingulate-rh_caudalanteriorcingulate,-1.37030397583377e-05,-2.00366929953902e-05
lh_caudalanteriorcingulate-rh_caudalmiddlefrontal,-2.63813870926561e-06,6.46000754602525e-05
lh_caudalanteriorcingulate-rh_cuneus,4.01023602620201e-06,-1.10544495409671e-05
lh_caudalanteriorcingulate-rh_entorhinal,-1.06225240226489e-05,1.90603303433402e-05
lh_caudalanteriorcingulate-rh_fusiform,-4.45006996510803e-06,6.31491733476994e-05
lh_caudalanteriorcingulate-rh_inferiorparietal,-3.48728599421752e-06,7.36681906917678e-05
lh_caudalanteriorcingulate-rh_inferiortemporal,-9.44200778305753e-06,4.58823930864656e-05
lh_caudalanteriorcingulate-rh_isthmuscingulate,-1.56935514061526e-05,-8.00922613094801e-06
lh_caudalanteriorcingulate-rh_lateraloccipital,-6.9150625502451e-06,3.92496670629286e-05
