,Component_1,Component_2
lh_caudalanteriorcingulate-lh_parstriangularis,0.011980184861263286,0.03346273792653502
lh_caudalanteriorcingulate-lh_pericalcarine,0.00927555643477488,-0.012511236015902805
lh_caudalanteriorcingulate-lh_postcentral,0.02550549864678712,0.012845278976337207
lh_caudalanteriorcingulate-lh_posteriorcingulate,0.00979378525624018,0.012684769331929725
lh_caudalanteriorcingulate-lh_precentral,0.011448472210072964,0.0345280163702731
lh_caudalanteriorcingulate-lh_precuneus,0.014695719283707701,0.02636364656872467
lh_caudalanteriorcingulate-lh_rostralanteriorcingulate,0.019567487513686695,-2.6127307538757182e-05
lh_caudalanteriorcingulate-lh_rostralmiddlefrontal,0.015494911691504878,0.02351190725925999
lh_caudalanteriorcingulate-lh_superiorfrontal,0.010321278563676746,0.03205849095701657
lh_caudalanteriorcingulate-lh_superiorparietal,0.009903421450620337,0.03123872770575426
lh_caudalanteriorcingulate-lh_superiortemporal,0.010146698700773397,0.039200343355117837
lh_caudalanteriorcingulate-lh_supramarginal,0.01081211154168796,0.03086673757324938
lh_caudalanteriorcingulate-lh_frontalpole,0.023879373634231916,0.020181648836335792
lh_caudalanteriorcingulate-lh_temporalpole,-0.002867126388198017,0.04432058774701127
lh_caudalanteriorcingulate-lh_transversetemporal,0.015291374026332018,0.016036151370362593
lh_caudalanteriorcingulate-lh_insula,-0.018658379375252106,0.060270216348530664
lh_caudalanteriorcingulate-rh_bankssts,0.0051752661613564295,0.03789039589268524
lh_caudalanteriorcingulate-rh_caudalanteriorcingulate,0.010175934635806889,0.003155301778997415
lh_caudalanteriorcingulate-rh_caudalmiddlefrontal,0.004417694783073332,0.03645587379402486
lh_caudalanteriorcingulate-rh_cuneus,0.024773025053669562,-0.01765489271503273
lh_caudalanteriorcingulate-rh_entorhinal,0.020371559417030734,0.015468135063030415
lh_caudalanteriorcingulate-rh_fusiform,0.01175982706992843,0.026494847072115708
lh_caudalanteriorcingulate-rh_inferiorparietal,0.015712706130017295,0.02500013981912287
lh_caudalanteriorcingulate-rh_inferiortemporal,0.019667402152453023,0.018902508790153434
lh_caudalanteriorcingulate-rh_isthmuscingulate,0.016543512366664147,0.0055335353551604115
lh_caudalanteriorcingulate-rh_lateraloccipital,0.02294983047609538,0.014636344197858146
lh_caudalanteriorcingulate-rh_lateralorbitofrontal,0.008429113990516128,0.030731068996721175
lh_caudalanteriorcingulate-rh_lingual,0.010273228216928314,0.016529085526248533
lh_caudalanteriorcingulate-rh_medialorbitofrontal,0.021061870620104985,0.02334464941839437
lh_caudalanteriorcingulate-rh_middletemporal,0.01788713999201994,0.029207981804649782
lh_caudalanteriorcingulate-rh_parahippocampal,0.008531618227431235,0.035973948228149887
lh_caudalanteriorcingulate-rh_paracentral,0.015397190715956287,0.03263964854653221
lh_caudalanteriorcingulate-rh_parsopercularis,-0.00029822279575700814,0.045070406680692565
lh_caudalanteriorcingulate-rh_parsorbitalis,0.017949547975101128,0.028106948145734605
lh_caudalanteriorcingulate-rh_parstriangularis,0.010413410492730202,0.03437608519078228
lh_caudalanteriorcingulate-rh_pericalcarine,0.012662242861286482,-0.02182612314937971
lh_caudalanteriorcingulate-rh_postcentral,0.021548513462217107,0.019461776677892815
lh_caudalanteriorcingulate-rh_posteriorcingulate,0.0073537402391784246,0.017865978737931647
lh_caudalanteriorcingulate-rh_precentral,0.016184279826346307,0.02989305726371601
lh_caudalanteriorcingulate-rh_precuneus,0.013634691358394199,0.028385591222658598
lh_caudalanteriorcingulate-rh_rostralanteriorcingulate,0.01865582968977419,0.002899472978675736
lh_caudalanteriorcingulate-rh_rostralmiddlefrontal,0.015716707043744848,0.022961293001560575
lh_caudalanteriorcingulate-rh_superiorfrontal,0.009974211577406092,0.03119569472599715
lh_caudalanteriorcingulate-rh_superiorparietal,0.00854945895067202,0.03265554876227165
lh_caudalanteriorcingulate-rh_superiortemporal,0.012473387367120127,0.03844384373297543
lh_caudalanteriorcingulate-rh_supramarginal,0.011319961497463773,0.029471989672885744
lh_caudalanteriorcingulate-rh_frontalpole,0.022701467506555908,0.023706501572492218
lh_caudalanteriorcingulate-rh_temporalpole,0.004346633556824536,0.03590230536708742
lh_caudalanteriorcingulate-rh_transversetemporal,0.007040203474203949,0.030499515359067805
lh_caudalanteriorcingulate-rh_insula,-0.005357324820229994,0.04753330789671284
lh_caudalmiddlefrontal-lh_cuneus,-0.029954381776880278,0.039494159823661876
lh_caudalmiddlefrontal-lh_entorhinal,0.022115689608761712,-0.0013123019560803868
lh_caudalmiddlefrontal-lh_fusiform,0.014337047106261635,0.020290805208925792
lh_caudalmiddlefrontal-lh_inferiorparietal,0.009268395950681536,0.010568941318936789
lh_caudalmiddlefrontal-lh_inferiortemporal,0.023000531685605317,0.01468988204951168
lh_caudalmiddlefrontal-lh_isthmuscingulate,-0.02035534784096287,0.03305316474894476
lh_caudalmiddlefrontal-lh_lateraloccipital,-0.024527734832001918,0.04105175789817421
lh_caudalmiddlefrontal-lh_lateralorbitofrontal,0.02571139547123628,0.006135012663884578
lh_caudalmiddlefrontal-lh_lingual,-0.02213815153915033,0.037440761760108895
lh_caudalmiddlefrontal-lh_medialorbitofrontal,0.010842891810317641,0.024973747571201542
lh_caudalmiddlefrontal-lh_middletemporal,0.024962515639180387,0.010274497712439897
lh_caudalmiddlefrontal-lh_parahippocampal,0.004986975353546906,0.019020471783464447
lh_caudalmiddlefrontal-lh_paracentral,0.006939203873000437,0.028093781848634106
lh_caudalmiddlefrontal-lh_parsopercularis,0.008475926863431528,0.02840433598667485
lh_caudalmiddlefrontal-lh_parsorbitalis,0.028366797505911572,0.008101331384056984
lh_caudalmiddlefrontal-lh_parstriangularis,0.01608820715515574,0.008678334998619783
lh_caudalmiddlefrontal-lh_pericalcarine,-0.02471773551839203,0.02835515542461359
lh_caudalmiddlefrontal-lh_postcentral,-0.001087076883368202,0.02954455828036769
lh_caudalmiddlefrontal-lh_posteriorcingulate,-0.004115782165310844,0.03951721953342118
lh_caudalmiddlefrontal-lh_precentral,0.020342199233706424,0.012781025340185794
lh_caudalmiddlefrontal-lh_precuneus,0.0033274761590263414,0.01950961575937059
lh_caudalmiddlefrontal-lh_rostralanteriorcingulate,0.0393539043334658,0.012135174782528355
lh_caudalmiddlefrontal-lh_rostralmiddlefrontal,0.0027760540622768664,0.017660560690758696
