,Component_1,Component_2,Component_3,Component_4
age,0.9912967742653974,-0.12642184319924477,-0.034022312563055726,0.01380960321600487
sex_1,0.11596845356196295,0.8018285130024722,0.17199653551834376,-0.5603923137270208
assessment_centre_11026,0.0599119752736563,0.5725702545565745,-0.05070074509787369,0.8160902482337548
assessment_centre_11027,0.01710492117116918,-0.11511670988765656,0.9832034929067444,0.14059322996609103
