,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
lh_bankssts-rh_supramarginal,-0.00021589656989925347,-0.011096940891262657,0.02295859007100745,-0.00956379467717337,0.006691915623633449,0.008848699924243789,-0.03691454129961361
lh_bankssts-rh_frontalpole,0.004152750541116424,-0.020432020824041632,0.008233787158052988,-0.02174134231598323,0.014882445737358502,0.01855517203182195,-0.04415966794871945
lh_bankssts-rh_temporalpole,0.010915899056358574,-0.023255332621621466,0.0054879439680365245,-0.025146354036966342,0.03033640445486748,0.011734933885765278,-0.05132878655826029
lh_bankssts-rh_transversetemporal,-0.010973416347000916,-0.012580349514645501,0.005495903483524271,0.008202721847293764,0.004049364014307757,-0.03405757345431696,-0.01804865892512208
lh_bankssts-rh_insula,-0.004455878931208088,-0.0050070803302389244,0.006303844465787411,0.0034794096222724256,-0.021377429104233767,0.009775665233276677,0.018065072280805068
lh_caudalanteriorcingulate-lh_caudalmiddlefrontal,-0.009263110142746736,0.004340233382429357,0.03590149881461924,-0.011417615168750977,0.005830745426141414,-0.016473779466435485,0.006576529197592972
lh_caudalanteriorcingulate-lh_cuneus,0.002128511317364854,-0.030821501251267994,0.00276549898850954,0.027462162453633785,0.0006874118636823246,-0.003524763618665191,-0.017615188044135952
lh_caudalanteriorcingulate-lh_entorhinal,-0.01000713155753683,-0.009535406844648297,0.025807524139527516,-0.00987494250760222,0.0164693057563386,-0.0075626072011639,0.001218581935058203
lh_caudalanteriorcingulate-lh_fusiform,-0.02177073207069372,-0.009953418218361251,0.019194943865721632,-0.02473696991523902,0.007830587439116672,-0.015790109917092208,0.0012511766668969497
lh_caudalanteriorcingulate-lh_inferiorparietal,-0.015327678516399818,-0.002527784202992065,0.03303554707925136,-0.014834264657661097,0.004818431136013805,-0.014066668300491003,0.0033908086739601077
lh_caudalanteriorcingulate-lh_inferiortemporal,-0.0212357131857499,-0.017264219911782695,0.016937581530103208,-0.02040850349231442,0.006920594357224364,-0.019039094027490298,-0.001595705431496219
lh_caudalanteriorcingulate-lh_isthmuscingulate,-0.028311636509805248,-0.030819310385422013,-0.006025452176792494,-0.004456891302057904,0.0067507918466863355,0.004640220209825621,0.010778099901660903
lh_caudalanteriorcingulate-lh_lateraloccipital,-0.013563433815109858,-0.017907136870723744,0.02349061010547933,6.134490875745232e-05,-0.004130693704550428,-0.012557898034185064,-0.006130091810311252
lh_caudalanteriorcingulate-lh_lateralorbitofrontal,-0.024507367355025005,-0.013925851935273,0.019194876706106326,-0.011595157922555123,0.005584992795626572,-0.016426012014442302,-0.00453896095845032
lh_caudalanteriorcingulate-lh_lingual,-0.007787250184056555,-0.023769461004894778,0.01455608395774086,0.02208375271035875,0.012201338007393628,-0.007070586499412318,-0.019860238716713465
lh_caudalanteriorcingulate-lh_medialorbitofrontal,-0.010834286438776559,-0.0048884250392760755,0.04271890511165099,0.006056044699810498,0.01417811337722583,-0.007463087187972811,-0.003289145390983228
lh_caudalanteriorcingulate-lh_middletemporal,-0.01870724561243563,-0.013700225129522198,0.0299015614806598,-0.00957924402667513,0.01166272502329575,-0.017989862920258972,-0.0010610150817720418
lh_caudalanteriorcingulate-lh_parahippocampal,-0.004711576401975902,0.004162073869025216,0.04236701951519492,0.015260581565855651,0.03349866610926289,-0.004315224690643892,0.0064040952606090685
lh_caudalanteriorcingulate-lh_paracentral,-0.01567505890858794,-0.0034918329281086813,0.043973122957451295,0.007196186140844426,0.006235991485717925,-0.01984726068297555,-0.007574437459842667
lh_caudalanteriorcingulate-lh_parsopercularis,-0.012950947004610453,-0.0012335166716686283,0.027596703963997975,-0.020980473806420527,0.0005672223326461321,-0.02564012280775654,-0.009317718466550114
lh_caudalanteriorcingulate-lh_parsorbitalis,-0.0029012200375270253,0.0017560944158742822,0.04466115494170395,-0.012368470761791423,-0.00682715961595627,-0.013330102028919006,0.0011054417842949037
lh_caudalanteriorcingulate-lh_parstriangularis,-0.012339162601250267,-0.0017842297342331472,0.039564039170196845,-0.0030672244832253208,0.015597162413497945,-0.014476932985947624,-0.003236959130027862
lh_caudalanteriorcingulate-lh_pericalcarine,0.013760501997349586,-0.026231034516079173,-0.018841238264902086,0.015302670702404339,-0.0049953925324488805,-0.005167418211047663,-0.013639494635948714
lh_caudalanteriorcingulate-lh_postcentral,-0.014432308164126403,-0.01923718296272329,0.0254714575954826,0.0014388942720918324,-0.004386820859371425,-0.020394982670081666,-0.007040739678779646
lh_caudalanteriorcingulate-lh_posteriorcingulate,-0.03174248543807757,-0.033410380319165815,-0.014676265171220058,-0.015940312840220374,-0.020477115531920442,-0.008927380189242606,-0.0010184716717944668
lh_caudalanteriorcingulate-lh_precentral,-0.021247177489275147,-0.013215446143666773,0.02415130030746894,-0.027123145502866777,0.00028817677429048705,-0.017941718031119016,0.006081920269666239
lh_caudalanteriorcingulate-lh_precuneus,-0.019561756708232524,-0.0061805326214383885,0.03372713681119035,-0.0007547190321363278,0.0034236362022515804,-0.010258133484046701,0.004259918421715634
lh_caudalanteriorcingulate-lh_rostralanteriorcingulate,-0.040162010226238574,-0.03591154430763126,-0.01603421266382275,-0.02536447338440667,-0.006182298202154204,-0.0025192299462127752,0.011112489954999626
lh_caudalanteriorcingulate-lh_rostralmiddlefrontal,-0.01683243373321136,-0.0063905226134691115,0.032921860413267286,-0.006163837705898859,0.011509235413986732,-0.017948634237548063,-0.0013443300431709767
lh_caudalanteriorcingulate-lh_superiorfrontal,-0.005889837629898866,0.0044941923172068165,0.03962584018827525,-0.016793253465932113,0.007549757633743643,-0.01900491969249863,0.0013607049690572655
lh_caudalanteriorcingulate-lh_superiorparietal,-0.010831186349921917,-0.005513186760481634,0.03336459962229805,-0.0012487996353546503,-0.011021351180426166,-0.019970373560679967,-0.004688807896668385
lh_caudalanteriorcingulate-lh_superiortemporal,-0.012796739049662522,-0.010917447668414987,0.02750369377157554,-0.031337366059511415,0.005630554192619523,-0.019865811773417834,-0.0010808241025493243
lh_caudalanteriorcingulate-lh_supramarginal,-0.015409764242248993,-0.003264246795281185,0.031013947330521124,-0.019433560192790196,0.0031556350777740554,-0.0175754686877284,-0.0006097222018549365
lh_caudalanteriorcingulate-lh_frontalpole,0.002334197452814504,-0.009197277793256574,0.02701141054350267,-0.02155574147544905,0.010306260108709374,0.004238373731430867,-0.02438527114960551
lh_caudalanteriorcingulate-lh_temporalpole,0.009437363263517396,-0.004997144871528736,0.028357588479722005,-0.022830115009204368,0.012908614454495319,-0.00923225841587905,0.01104231542724486
lh_caudalanteriorcingulate-lh_transversetemporal,-0.028656125451493042,-0.026856698358177968,-0.00048757920998523675,-0.02045016727447659,0.002198941145655808,-0.018598454979537,-0.004473810891961211
lh_caudalanteriorcingulate-lh_insula,-0.01149170532315777,-0.01141586072558585,0.008045272165016095,-0.021490532059378516,0.0033369720721319806,-0.0003156906139975462,0.020746967217164368
lh_caudalanteriorcingulate-rh_bankssts,-0.006827393606836479,-0.00016670543163776124,0.025026925386120356,-0.026096582863452383,0.015244166783488201,0.0034346204969779247,-0.01429381391288229
lh_caudalanteriorcingulate-rh_caudalanteriorcingulate,-0.025569991581569064,-0.028698927335610885,-0.014242345668334003,-0.014533107991878515,0.004019426279885835,0.006651371838319382,0.02401275782523094
lh_caudalanteriorcingulate-rh_caudalmiddlefrontal,-0.009861670993881425,0.0038212716886387127,0.03643150086453096,-0.0092771597218806,0.009734895822429547,-0.012524502022445554,0.006909052637463052
lh_caudalanteriorcingulate-rh_cuneus,0.003171257816960494,-0.03386839120529149,-0.005318868053405766,0.022641861362550062,0.007004347181612435,-0.005484160268374644,-0.008053323347175897
lh_caudalanteriorcingulate-rh_entorhinal,-0.007812726386098439,-0.012450441011467365,0.019213311343389695,-0.02246767252863296,0.016709935897335486,-0.0010833383152335618,-0.0077433689389759105
lh_caudalanteriorcingulate-rh_fusiform,-0.01982519989344795,-0.006831517019915324,0.02483151766100328,-0.015493669612129411,0.013583600637432853,-0.004279697676370764,0.0019200653117306852
lh_caudalanteriorcingulate-rh_inferiorparietal,-0.017012098379860497,-0.003587180875747592,0.03241948186410486,-0.01678968521102325,0.005811820635072899,-0.015689914847382778,-0.001349322049990206
lh_caudalanteriorcingulate-rh_inferiortemporal,-0.01694875319346365,-0.007599059052799004,0.028980675915252104,-0.007823814310663136,0.01508211975354121,-0.007990608980154629,-0.002809716261329505
lh_caudalanteriorcingulate-rh_isthmuscingulate,-0.028194189233531786,-0.028335195410046,-0.0020334351541965393,-0.0009948037803927797,0.00781359418071237,0.004038472828944468,0.006153476685613235
lh_caudalanteriorcingulate-rh_lateraloccipital,-0.012204963983488058,-0.01277602721697541,0.031349292570133136,-9.196548381277755e-06,-0.00123419356338159,-0.01687467996112936,-0.007348471520328329
lh_caudalanteriorcingulate-rh_lateralorbitofrontal,-0.02631011882419624,-0.016840102900668542,0.016269460472538647,-0.00751928223550597,0.007149008812886949,-0.007152327836996677,-0.0018194556524847006
lh_caudalanteriorcingulate-rh_lingual,-0.010223607088832447,-0.03027633339001009,0.00498818856080792,0.016101980965759377,0.013198869874396895,-0.014612848241459038,-0.006640189525852356
lh_caudalanteriorcingulate-rh_medialorbitofrontal,-0.016769848918192994,-0.008981689933586924,0.03645957097549685,0.0017415530471658642,0.01162694707559289,-0.007519231733413294,-0.007128525261986585
lh_caudalanteriorcingulate-rh_middletemporal,-0.019186295714478437,-0.011559117800557558,0.031023744663143272,-0.011310797277793471,0.008453268041445569,-0.010847266283711972,-0.0077255001801195345
lh_caudalanteriorcingulate-rh_parahippocampal,-0.010487514335896479,-0.005786874015757828,0.03297664121028002,0.006546733862693549,0.034428740431848175,0.006111288092826853,0.006555807549646406
lh_caudalanteriorcingulate-rh_paracentral,-0.02137454654855384,-0.010769778241289635,0.03395845516427093,-0.0023096169215737015,0.006786113652220784,-0.013886897144748105,0.0040403144760499995
lh_caudalanteriorcingulate-rh_parsopercularis,-0.009535238965500605,0.005119719323893556,0.03675012010830537,-0.0074300926322871,0.016391912407263124,-0.005834910587272448,0.0006737102765627064
lh_caudalanteriorcingulate-rh_parsorbitalis,-0.007999704359031435,-0.0008186049620773378,0.041627902249387304,-0.014795378110501875,-0.0065593669027774115,-0.016348483621386373,-0.00777934635004747
lh_caudalanteriorcingulate-rh_parstriangularis,-0.013589004592370836,-0.0010320787438820897,0.03869824103541611,-0.004298146622577426,0.011585669585984611,-0.015184313480362926,-0.0016366647717179536
lh_caudalanteriorcingulate-rh_pericalcarine,0.01256241674041933,-0.027187695352065194,-0.02312259721434458,0.009989957725589256,-4.0838267081136617e-05,-0.007918353700561962,0.000488855295945594
lh_caudalanteriorcingulate-rh_postcentral,-0.014999608844710102,-0.019095371880329122,0.027231841286875284,0.009042367033850121,0.00455986116377924,-0.013842250627287193,0.001741274526101035
lh_caudalanteriorcingulate-rh_posteriorcingulate,-0.03323464355789987,-0.030558370520255677,-0.00893766818227877,-0.0037823596651297892,0.005996855995068198,0.012962428511670161,0.02110867806300606
lh_caudalanteriorcingulate-rh_precentral,-0.020272468722421513,-0.011606830456337354,0.028718792135015835,-0.02085979770862553,0.0002442341974990586,-0.016074179641515314,0.0005271455756418753
lh_caudalanteriorcingulate-rh_precuneus,-0.01999364253354275,-0.006062820307882509,0.03436156943592511,-0.0003036145624475373,0.00669518543647143,-0.00878829016150257,0.007344477780974673
lh_caudalanteriorcingulate-rh_rostralanteriorcingulate,-0.03273935384846655,-0.020430350112368705,0.002481615012045934,-2.032424184779872e-05,0.008963891690079532,0.027905829821433165,0.027766549778947516
lh_caudalanteriorcingulate-rh_rostralmiddlefrontal,-0.01524242394524448,-0.0056961145682282175,0.033680082102003205,-0.0035395015135303914,0.013300644597580534,-0.015275280025432872,0.0021352200105064015
lh_caudalanteriorcingulate-rh_superiorfrontal,-0.009428508072013836,0.0004364257578188691,0.03381443955507503,-0.016493220274947915,0.005930944876870398,-0.008865509352411585,-0.002585962981165031
lh_caudalanteriorcingulate-rh_superiorparietal,-0.008881669659167047,-0.003020672367084495,0.03833069929152752,0.007489431045193527,-0.002246232978362622,-0.017997019701805606,0.0028160416022132945
lh_caudalanteriorcingulate-rh_superiortemporal,-0.010222996752689239,-0.0023185742157566616,0.03734668523263741,-0.017067222481259896,0.010144308033044629,-0.0033127196921495647,-0.004046035461000359
lh_caudalanteriorcingulate-rh_supramarginal,-0.00962195686410565,0.007310293242566044,0.04314423267176494,-0.005412659826245002,0.014836329568377899,-0.007011998610629103,0.004154721970666722
lh_caudalanteriorcingulate-rh_frontalpole,0.0016970216447116156,-0.007402999454632254,0.03235151571088718,-0.012215682766180262,0.01966345138931487,0.008769828032379938,-0.0229343823582618
lh_caudalanteriorcingulate-rh_temporalpole,0.005969964078607532,-0.013650130842237276,0.015404907489030293,-0.02371191903740345,0.02964531256480967,-0.0019151191866951616,-0.02930300645172426
lh_caudalanteriorcingulate-rh_transversetemporal,-0.022244185972974128,-0.013338170715388155,0.01721451978810954,0.0002794121527424419,0.016158072892442674,-0.00959639196077667,0.008944933517983127
lh_caudalanteriorcingulate-rh_insula,-0.012428719464328214,-0.015095528998507888,0.008494648058439639,-0.023567004209935898,-0.0010178370416346499,0.015159182575474918,0.013033828351001165
lh_caudalmiddlefrontal-lh_cuneus,0.051873980492784744,-0.022162233954282958,-0.02120189591014842,-3.155042313750136e-05,-0.009467591725868413,-0.005640961135520325,0.0010283769659739253
lh_caudalmiddlefrontal-lh_entorhinal,0.0044881420280041525,-0.0046857507933602575,0.018603872352362095,0.000309488675920823,0.01293920068667123,0.004555944999270676,0.007529464415760382
lh_caudalmiddlefrontal-lh_fusiform,-0.005766171498045603,-0.016424424849626324,0.025193837952062134,0.01713735271750436,-0.02843021095484106,-0.007616433378015548,0.008279260935352532
lh_caudalmiddlefrontal-lh_inferiorparietal,-0.005778420911279489,-0.028659414358675393,-0.011767238663220412,-0.02442346570240839,-0.004970638807146166,0.0208416175085492,0.0387227131078604
lh_caudalmiddlefrontal-lh_inferiortemporal,-0.011999831529594482,-0.011041421924628137,0.04075431269104326,0.0424078722326773,-0.0033409840097518673,0.008991865362905778,0.010373637051649188
lh_caudalmiddlefrontal-lh_isthmuscingulate,0.02234940209043623,-0.011018415229447227,-0.0024848276840705283,0.006470349321918102,0.004775835817823818,-0.05189922475890123,0.013746076345262552
lh_caudalmiddlefrontal-lh_lateraloccipital,0.043528379422379415,-0.009668378969538574,-0.0057766472785685165,-0.014134809293144833,-0.026936226409820206,-0.004407573589106053,0.018633752223305534
lh_caudalmiddlefrontal-lh_lateralorbitofrontal,0.0002283145631340239,-0.017076507755324554,0.010747825888251463,-0.01951137273853284,-0.033346292471671875,0.012302624656627672,0.009561080729276064
lh_caudalmiddlefrontal-lh_lingual,0.045814894537160346,-0.025284177415127583,-0.018196287596179847,-0.00340551794576565,-0.00893055408396931,-0.014818938902749363,0.00562870263394174
lh_caudalmiddlefrontal-lh_medialorbitofrontal,0.023637749971196772,0.00636913558026068,0.030232590066869187,-0.027944153781311532,-0.020833534570442097,-0.0029086156630734597,0.012359282239211388
lh_caudalmiddlefrontal-lh_middletemporal,-0.010091968981581092,-0.015639509076075576,0.018998672062789598,-0.0031439314430042596,-0.021693072448117513,-0.004800124686807778,-0.0018450154411348391
lh_caudalmiddlefrontal-lh_parahippocampal,0.005020294051682402,-0.008509216855201174,0.01588841689412864,0.0011543617734194776,-0.024118486836787276,-0.023265482278675424,0.008804220168714108
lh_caudalmiddlefrontal-lh_paracentral,0.01585968039763774,-0.004784022908984673,0.025953120946909852,0.0032043905580637485,-0.005173368166465492,-0.038915017036385405,-0.030956260628986057
lh_caudalmiddlefrontal-lh_parsopercularis,-0.0011732310878073426,-0.01232986688034901,0.01652526226305491,0.00133632697793956,0.008243718806714428,0.0029595999689972985,-0.018266386953145256
lh_caudalmiddlefrontal-lh_parsorbitalis,-0.0010581419827039803,-0.008082427825911705,0.027852183373842408,-0.011210426490653876,-0.013894912138656483,0.003678596639794789,0.0054981485327874795
lh_caudalmiddlefrontal-lh_parstriangularis,-0.0057604639809185456,-0.015652092295261225,0.006078357717160192,-0.008341436982349078,0.024186137284571127,0.021761098182943268,0.01716816022042737
lh_caudalmiddlefrontal-lh_pericalcarine,0.05741729347011083,-0.012960592007006257,-0.018617358102123838,-0.005421508476808451,-0.003908313664159272,0.001590526649368505,0.004733930591432552
lh_caudalmiddlefrontal-lh_postcentral,0.0264567116055772,-0.01584274797101522,0.0037065580715424694,-0.009891605634670994,-0.019235300572098518,-0.0012123371498985718,0.007471272503641301
lh_caudalmiddlefrontal-lh_posteriorcingulate,0.016863950713028066,0.015900966381489395,0.033752519317867886,-0.03618281760795573,0.030008405761526025,-0.013095991714366574,0.016451463158955015
lh_caudalmiddlefrontal-lh_precentral,-0.0021338383023398293,-0.020006701893451037,0.01382022290169304,0.005700296929409573,0.01443132243969041,-0.0017774197423423648,-0.01995490731337551
