,Component_1,Component_2,Component_3
age,0.9941213226218232,-0.09588945506429704,-0.05024279493383441
sex_1,0.08629161994172664,0.8589262273320724,0.04896094454375936
assessment_centre_11026,0.045907708255203176,0.5015275772936402,-0.015895716149142602
assessment_centre_11027,0.046572895113185374,-0.03900048233712705,0.997409551625953
